date,open,high,low,close
2022-01-03,388.1983202451919,391.00974454371743,386.0873473183604,390.7568054199219
2022-01-04,391.3015267055708,391.3404472631714,382.5949296886275,385.6884460449219
2022-01-05,384.0055605149035,385.1243115425501,373.5868130518578,373.8397521972656
2022-01-06,372.0205905872242,376.8165184216376,369.7928558939074,373.5770568847656
2022-01-07,373.58682801623934,375.2697937191011,367.75972737664983,369.53021240234375
2022-01-10,364.6271924939485,370.28893116706166,359.2670213392742,369.7733154296875
2022-01-11,369.0437750740555,375.4934854420192,366.96198507841575,375.328125
2022-01-12,377.8962372540875,379.58894000178645,374.5400741286229,376.8164367675781
2022-01-13,378.1978779155955,378.8788541706966,366.4561289540999,367.3900146484375
2022-01-14,364.8704516363952,370.006867509756,364.6661409463367,369.6761169433594
2022-01-18,363.8684106771355,365.9891209009165,359.71450953046275,360.4732971191406
2022-01-19,362.029832788458,364.5007689267913,356.25136140354783,356.5140380859375
2022-01-20,359.73409997884835,363.70313717180824,351.3485132576029,351.883544921875
2022-01-21,349.6946830737125,352.3309798433953,341.8441290801608,342.1262512207031
2022-01-24,336.503361180351,344.35391352228993,325.0631519590181,343.6923828125
2022-01-25,337.2427024792045,341.48412280913794,332.38837987086396,335.72509765625
2022-01-26,343.31309150880196,347.1751338941979,331.51294576874983,335.19989013671875
2022-01-27,339.89843625241,341.717578860409,330.8026935247298,331.82415771484375
2022-01-28,333.7017154948516,342.4472338873204,328.7598729741147,342.23321533203125
2022-01-31,343.5951296676344,353.76093569684656,341.9607928414267,353.17724609375
2022-02-01,354.51975345573044,356.2319018538568,349.3736300747479,355.5801086425781
2022-02-02,359.70481264846654,360.0355631779779,354.3835618038252,358.4693298339844
2022-02-03,348.78025519641074,352.0877908082691,342.8753135993525,343.9356689453125
2022-02-04,344.4511719615143,351.5721197620459,342.39856533383363,348.2743225097656
2022-02-07,348.8677710648343,351.23168311671714,344.21775839813677,345.4726867675781
2022-02-08,344.33447295829444,350.44369468405654,343.2060142079704,349.3541564941406
2022-02-09,353.86799703006915,356.8350441003599,352.27258059296145,356.7572326660156
2022-02-10,349.7432469581747,356.52370682890097,346.84430370922803,348.6828918457031
2022-02-11,348.68293354866245,350.2783500326764,336.39638598494747,337.62213134765625
2022-02-14,337.0676295367606,341.43554980599544,334.53835702585025,338.0404357910156
2022-02-15,343.31299780023323,346.6788985298237,342.2526427338725,346.4454345703125
2022-02-16,344.1982793145098,347.379344739258,341.1728367486853,346.35791015625
2022-02-17,343.1476750723119,343.8480967760415,335.63760946086956,336.0559387207031
2022-02-18,336.98979739395264,337.3789139342087,329.9175070476172,332.2230529785156
2022-02-22,329.2851761441837,334.6842686128457,325.2577737302446,328.8863220214844
2022-02-23,332.038210028671,332.8748090871975,320.1505174094211,320.4618225097656
2022-02-24,310.1695256086582,331.76583514902126,309.6053110745808,331.23077392578125
2022-02-25,332.0284199331353,336.5714371039434,328.2150369641801,336.36712646484375
2022-02-28,333.1959142882069,339.06193542376275,332.03827235026506,337.3692321777344
2022-03-01,336.34780851003364,338.6144343305379,329.6840788174875,332.2036437988281
2022-03-02,333.75027875813333,339.1104494682078,330.98751320333344,337.7777099609375
2022-03-03,340.4141055397929,340.52112967168375,331.0946341359725,332.95269775390625
2022-03-04,330.59846912175567,332.0284954824209,325.8122790448653,328.1275329589844
2022-03-07,328.1177901966875,329.2754318745046,315.82150637733827,316.0257873535156
2022-03-08,315.23789244743244,324.14880236266123,311.23967251525295,314.55694580078125
2022-03-09,322.7284579772235,327.2325554489857,320.1407899136627,325.8803405761719
2022-03-10,321.82376014149736,323.4678050248186,317.8255111481958,322.2615051269531
2022-03-11,325.22865249733,325.5399576796849,315.09199644365975,315.5783996582031
2022-03-14,314.34290265565807,317.70880412168714,308.8173700285798,309.5177917480469
2022-03-15,312.15408832569585,320.00464224223913,310.54896387835566,319.22637939453125
2022-03-16,323.13700512453204,331.1821006306383,319.4695072428963,331.06536865234375
2022-03-17,329.16842359825154,335.13173025381406,327.8746044366326,335.0733642578125
2022-03-18,333.41961616057836,342.2235308402903,332.2619743080111,341.9316711425781
2022-03-21,341.09789357328924,343.3186324478158,336.5979479498107,340.9809875488281
2022-03-22,341.4777583376518,348.5490720835401,341.0979103437439,347.68218994140625
2022-03-23,344.80887821456724,348.3640045280012,342.6270782050995,342.6855163574219
2022-03-24,344.604348920767,350.351025410237,342.4517974996988,350.30230712890625
2022-03-25,350.243853940656,351.29580018977583,345.71471853730384,350.0101013183594
2022-03-28,350.0003012291695,355.52294392941155,348.76332081543086,355.425537109375
2022-03-29,359.31180908270505,362.16564748431114,356.54562789853816,361.5422973632813
2022-03-30,359.6820322233208,361.3378593665474,356.0684672576992,357.5489501953125
2022-03-31,357.6949804858477,358.0456391088496,352.279493961754,353.1171569824219
2022-04-01,353.3801696236196,354.1593648604611,349.269850841836,352.44512939453125
2022-04-04,353.2827619279761,359.71122665164575,353.0197902241706,359.70147705078125
2022-04-05,358.2502217162296,358.96125893501994,350.5750266015486,351.7146301269531
2022-04-06,346.4062347899626,347.50686952486234,341.448533407247,344.078369140625
2022-04-07,343.08496453446185,347.0881574932225,339.6272440319202,344.8966369628906
2022-04-08,343.162847342799,343.91282354869514,339.44212594464426,340.0752258300781
2022-04-11,335.8480054578386,336.76357619913693,331.68899816767185,332.0299072265625
2022-04-12,336.77334394794974,338.6531740869484,329.2539936675608,330.6273498535156
2022-04-13,330.96815586695936,338.39984726201305,330.2473989157264,337.3479309082031
2022-04-14,337.4356714950059,337.95189506250176,329.41956693429603,329.63385009765625
2022-04-18,328.58191656925595,332.1760118780032,327.062465025245,329.8870849609375
2022-04-19,329.2442113806773,337.83497659773195,328.2215139748147,337.26031494140625
2022-04-20,338.06876059500115,338.52654598737115,331.12407207271315,332.3415832519531
2022-04-21,336.21812360109845,338.8284602340918,324.53976678286665,325.4650573730469
2022-04-22,325.6208967999029,326.83840786440084,316.51390809257975,316.9424743652344
2022-04-25,315.31589645643817,321.32551442948113,314.0496671138111,321.0138244628906
2022-04-26,318.95865328282736,319.14371732718405,308.62440477055,308.89715576171875
2022-04-27,308.99451321317423,314.48793659753886,306.8127432176525,308.5270080566406
2022-04-28,313.48478157123293,321.3158217288803,309.2673062384134,319.48468017578125
2022-04-29,315.28674394766375,318.7249947332458,304.47523745955675,305.10833740234375
2022-05-02,304.6991280988893,310.4360536012468,301.60178757124913,310.2023010253906
2022-05-03,310.221787848372,312.8224042977626,307.76729649145034,310.5334777832031
2022-05-04,311.01076573447637,321.7053936845587,305.73165437547124,321.0333251953125
2022-05-05,316.7185093538342,316.7964169925775,301.5726520595983,304.86480712890625
2022-05-06,302.8680460761537,306.90042702253174,297.17980856751376,301.21221923828125
2022-05-09,295.5922200348363,301.3096472968291,288.03390175661394,289.4267272949219
2022-05-10,296.595496474969,297.81300775113056,288.8618624708391,292.9429626464844
2022-05-11,290.6832567915973,296.18640185676054,283.3879386812416,284.2547912597656
2022-05-12,279.9788270613995,288.0630877961864,277.53405558723375,283.5826416015625
2022-05-13,288.03394787771657,295.12473233696886,286.4365588211198,294.09228515625
2022-05-16,292.3487744870589,294.40394878669343,289.4072782183106,290.6832275390625
2022-05-17,296.53695364221903,298.59209768325974,292.7382960219003,298.2122497558594
2022-05-18,293.70268582770615,294.3942239034574,282.3165180984512,283.572998046875
2022-05-19,281.77099514782947,286.73844563903594,280.10541881014825,282.0534362792969
2022-05-20,285.51129331912716,286.1638627729328,272.92708262077974,281.17694091796875
2022-05-23,282.2190483107968,286.23195978971927,279.8229949982693,285.85211181640625
2022-05-24,280.6411741346291,281.3521815700702,274.913997352395,279.7742919921875
2022-05-25,278.28408246900483,285.76449362585697,278.07954891697494,283.6898498535156
2022-05-26,282.8911554322837,293.09877969872235,282.60868452032753,291.5500793457031
2022-05-27,294.67672573332203,301.2123185667816,294.5598493955217,301.06622314453125
2022-05-31,301.0369313919927,303.2381712461334,296.4201090925534,300.2674560546875
2022-06-01,302.40054336965414,304.523875630762,295.8357329172192,298.0467224121094
2022-06-02,296.92659010109287,306.3842072732837,295.5142654443154,306.2088928222656
2022-06-03,300.997978827493,302.4005540664085,296.9948163878671,298.2415466308594
2022-06-06,302.67323523378644,304.23165526192764,297.6765653234213,299.2349853515625
2022-06-07,295.9136699857499,302.59538713893994,294.8227846687545,301.816162109375
2022-06-08,301.01743035758443,303.61804712763023,298.7966913157756,299.64410400390625
2022-06-09,297.95909417977526,301.01746695663655,291.4527212499062,291.6182861328125
2022-06-10,286.01768266023385,287.20597460384334,280.8846669045221,281.33270263671875
2022-06-13,272.47893369094703,275.0016126557796,267.39460709047296,268.2517395019531
2022-06-14,270.4432234960069,271.41723206738584,266.235499333798,268.73870849609375
2022-06-15,272.15755174098666,279.37493078532503,269.4205596688989,275.4496765136719
2022-06-16,268.42703050449353,268.8848157422862,262.281038524918,264.3362121582031
2022-06-17,265.1057045070877,269.9854980416754,263.47912647848466,267.55047607421875
2022-06-21,272.02683895071556,276.61349173532,271.9195063318225,274.3006286621094
2022-06-22,271.8024357299077,278.30180844546015,271.2071624610074,273.9006042480469
2022-06-23,276.37924669266306,278.82871750635326,273.5491977794671,277.9797058105469
2022-06-24,280.80009432145687,287.9240461519975,280.56589232404303,287.50439453125
2022-06-27,288.8607582467373,289.4267560880805,284.26436735805646,285.3963928222656
2022-06-28,285.9332140355885,288.5192934621976,276.51596567297554,276.7013854980469
