date,open,high,low,close
2022-01-03,211.48863554823012,214.3058328636944,210.56216297167748,213.01068115234375
2022-01-04,213.65356647580631,214.72183892424863,211.17670231237133,212.6892852783203
2022-01-05,212.58527088208905,213.5684634068484,205.44774148743457,205.4855499267578
2022-01-06,205.9204040365108,208.37835623206095,204.0296649206131,206.6577911376953
2022-01-07,206.6577902874815,208.34054693969185,204.13364088397145,204.26600646972656
2022-01-10,203.0370201862146,203.62314468507176,199.5769642070631,203.55697631835935
2022-01-11,203.70825130869096,205.9298757907947,201.32593013980943,205.72189331054688
2022-01-12,206.5821832687486,207.39520175778983,202.91414435188395,204.19039916992188
2022-01-13,204.96561115683585,206.2702260149613,201.7229998705875,202.31857299804688
2022-01-14,200.4088925182571,202.68722212991815,199.0759180145174,202.6021423339844
2022-01-18,200.60748862747437,200.83438259511271,196.19261295339257,196.47622680664065
2022-01-19,197.4026194355756,198.0171183168951,193.21463912570448,193.2808074951172
2022-01-20,194.1600251202269,197.572810165148,189.38590545874385,189.782958984375
2022-01-21,188.84702644775024,191.9289405815026,186.22836303710935,186.22836303710935
2022-01-24,183.46792000737292,191.33338907066872,180.78305887079784,190.52037048339844
2022-01-25,187.63696127597652,190.68105265729167,183.93111403463544,187.977294921875
2022-01-26,190.7566947065599,192.43000309526911,183.1370173206859,185.26409912109375
2022-01-27,186.83341452351985,188.7052424513563,180.18746682539057,181.0572052001953
2022-01-28,181.22735473658727,184.64013966943273,177.81456980374182,184.5834197998047
2022-01-31,183.77039771119328,190.2461853027344,183.259904469434,190.2461853027344
2022-02-01,190.64327100685983,192.448930727018,187.1548542525307,192.2503967285156
2022-02-02,192.4961859173638,192.76088829615105,188.40273312549272,190.3407440185547
2022-02-03,187.9772929861074,190.24618874379755,186.28508770252463,186.7388610839844
2022-02-04,186.27561324988164,189.1684562438557,184.2714343826636,187.54241943359375
2022-02-07,187.58973164744577,190.17060171357852,187.17378103230695,188.46893310546875
2022-02-08,188.5728763318348,192.02346962125952,188.4688850982392,191.68313598632812
2022-02-09,193.39428239970275,195.36063864031627,193.13902854699757,195.3228302001953
2022-02-10,191.81548112059428,197.62951266569465,191.07809400563636,192.32598876953125
2022-02-11,192.52451870550976,194.80286296788165,188.78086306192367,190.3785400390625
2022-02-14,190.61489435784964,192.4110909907338,188.3554613858674,189.71678161621097
2022-02-15,191.70206034351085,195.0392141213734,191.5602606632263,194.80287170410156
2022-02-16,194.08435858824836,195.946737631866,192.9310066599615,195.2093505859375
2022-02-17,193.3753681764355,193.8291415773212,189.81132049451293,190.2083740234375
2022-02-18,190.04766562821192,191.6453426955428,187.90167241542332,188.57289123535156
2022-02-22,187.63694694055417,189.4993261348248,184.67795001567723,185.9163818359375
2022-02-23,187.41007709788173,188.03401007872617,182.03092169694096,182.4374237060547
2022-02-24,178.0320281242887,187.63697327516832,177.65387159066557,187.22100830078125
2022-02-25,187.8355064516404,191.55080241789972,186.2378293637876,191.43736267089844
2022-02-28,189.51823074354724,193.42261151666415,189.50878224132163,192.21253967285156
2022-03-01,191.5886324389681,192.65689042191883,186.99413498626777,188.59181213378903
2022-03-02,189.86807039604784,194.08442612277625,189.72627069371785,193.08233642578125
2022-03-03,193.88584275428477,193.90475418484712,189.3480659073832,190.79449462890625
2022-03-04,188.7903376242104,189.88697000458905,186.2189307306595,187.80715942382812
2022-03-07,188.33652601917788,188.6863081423993,183.09917054746876,183.13699340820312
2022-03-08,183.72314608560583,188.66744005790716,182.8912305494587,184.1485595703125
2022-03-09,187.39119417526064,190.01932094274144,186.8239665516211,189.33865356445312
2022-03-10,186.62541848363492,189.1117307529518,185.82184854371553,188.998291015625
2022-03-11,189.8113557256675,190.73781413178608,185.70845407337208,185.98260498046875
2022-03-14,186.46471326293553,186.65378430617648,181.3975314080202,182.18218994140625
2022-03-15,182.8912225251128,185.09392115987,182.3429063860294,185.08447265625
2022-03-16,186.7483236610589,190.907958984375,185.43426035879511,190.907958984375
2022-03-17,189.80189894170053,193.99934316519645,189.35757398131796,193.90480041503903
2022-03-18,193.05393340143303,196.1169216897824,192.8553994372793,195.94676208496097
2022-03-21,195.88061194670524,196.80707027509732,192.79871171336967,194.21676635742188
2022-03-22,195.03923799473208,197.38375102198873,194.55710459755375,196.1642303466797
2022-03-23,194.8879613797454,195.8806024675853,192.6190798291375,192.76087951660156
2022-03-24,193.5944418416377,195.03421783575195,192.03150714246345,194.97738647460935
2022-03-25,195.21419906470493,195.71622870730863,193.65127877411615,195.24261474609375
2022-03-28,194.7500380025587,195.3278475284385,192.315655662091,195.30889892578125
2022-03-29,197.02340625084912,201.04912488818616,196.90974352622533,200.53762817382812
2022-03-30,200.21558296509767,200.5660671626689,195.70678277059304,196.51193237304688
2022-03-31,196.19928310973776,197.8853473022812,194.32376180954387,194.43743896484375
2022-04-01,195.29942829966632,196.75816726117552,194.1911734659105,196.6160888671875
2022-04-04,196.90024366209423,197.43068893234656,195.01526953770113,196.93814086914065
2022-04-05,196.98550982028289,198.38740298968565,191.82310648084683,192.2777862548828
2022-04-06,190.64857734145252,191.15060700866945,188.19524591737996,189.54978942871097
2022-04-07,189.54977438071617,190.61066499649183,186.30077518957708,188.93408203125
2022-04-08,188.70674195227355,189.7392168865317,187.07750882043936,187.427978515625
2022-04-11,186.71757634042785,188.73517657969117,185.54302288576352,186.16818237304688
2022-04-12,188.21418730301815,191.03692249496348,186.05450877313368,186.7554626464844
2022-04-13,187.24799970443723,190.81905284613427,187.1817012689229,190.30755615234375
2022-04-14,190.49701405221373,191.69051606875183,188.37521823592775,188.46047973632812
2022-04-18,187.98684448389676,188.6688352350513,186.158687227146,187.191162109375
2022-04-19,187.41852302073536,191.5673860725299,187.25749600344196,190.9232635498047
2022-04-20,192.3346236370672,193.11134298165936,191.20742014898488,191.65261840820312
2022-04-21,193.45234745733495,193.99227429102643,186.62284248102893,187.36167907714844
2022-04-22,186.48074310227997,186.95435702956044,182.14243779396477,182.51185607910156
2022-04-25,180.91107513363372,183.8664217739179,179.22501050387652,183.62014770507812
2022-04-26,182.17085505049928,182.54027330952445,177.58626157377864,177.83255004882812
2022-04-27,177.7662584569731,179.76490990634576,176.43066364763033,177.09373474121094
2022-04-28,179.1871159872334,181.29943034442184,174.9624872728565,180.39956665039065
2022-04-29,179.58497241037966,181.61203997075512,174.7730519172291,175.18983459472656
2022-05-02,175.14240114417194,177.9083188293447,172.75539767591593,177.0273895263672
2022-05-03,177.05581420357274,179.5091306752272,175.8812465577362,178.54296875
2022-05-04,179.07343117120968,183.6958933343789,175.89074495951846,183.3075408935547
2022-05-05,181.422567252064,181.4509829341459,173.70266527737306,175.87181091308594
2022-05-06,175.19926154212186,175.63497823935384,171.02198344440382,172.94485473632812
2022-05-09,170.36843879347967,173.01119871113633,164.91241039217553,165.67018127441406
2022-05-10,168.19926090195858,169.46854278711956,162.1654095026016,165.71751403808594
2022-05-11,165.88801740495273,168.7865323030639,161.3129051713175,161.59707641601562
2022-05-12,160.86775124346656,165.13974480533918,159.9868215875761,163.4915771484375
2022-05-13,165.80278319409237,169.94217939333444,165.77436751030223,168.6728973388672
2022-05-16,168.13297476642995,169.97059945109345,166.84474407176762,167.8677520751953
2022-05-17,170.88940981473436,173.19116695563065,169.5443477666034,173.00172424316406
2022-05-18,170.9462387878473,171.83663542287186,165.85962903895236,166.93946838378906
2022-05-19,165.6607037680154,169.37383578072695,165.6607037680154,167.2141571044922
2022-05-20,169.08019278692925,169.5253910894871,162.7242867433312,166.78790283203125
2022-05-23,168.49292449419258,169.5159324882241,166.23851718585163,168.80551147460938
2022-05-24,167.2520374716203,167.59302564068238,163.235785966797,166.3048095703125
2022-05-25,165.651201077973,170.29261148261756,165.58488819475426,169.2980194091797
2022-05-26,170.35892964681045,174.1004766547288,170.21683680131508,173.0774688720703
2022-05-27,174.0626048905031,177.7473210802366,173.7216022464394,177.73785400390625
2022-05-31,177.04636259212748,177.7757176369915,174.37517309207988,175.53079223632812
2022-06-01,176.44013102635725,177.07477193474105,172.1776058134559,174.53619384765625
2022-06-02,174.84876804581117,178.7987060546875,174.45093412263822,178.7987060546875
2022-06-03,177.4063044117106,178.04095981446338,175.98546258269192,177.18844604492188
2022-06-06,179.3007502658732,179.31969886953948,176.97057788916229,177.9556884765625
2022-06-07,176.5727615178438,180.8637028751691,176.089666024317,180.8258056640625
2022-06-08,179.93541618937255,180.636355577098,177.18844663860224,178.03147888183594
2022-06-09,177.17107096115316,177.66493165452832,174.30289951914727,174.3408966064453
2022-06-10,171.4347206682006,172.4224420122643,168.71850870948862,169.6112518310547
2022-06-13,164.9006437250906,166.16377885109887,160.77882902751074,161.64308166503906
2022-06-14,162.08944153683004,162.6307913337818,159.30675634541015,160.8643035888672
2022-06-15,162.6022895478739,165.30899487098912,160.18048989650865,163.2196044921875
2022-06-16,159.4017056926411,159.95254746571197,154.596103576107,155.6597900390625
2022-06-17,156.2106080490887,159.097777283111,155.46982444769958,156.8754119873047
2022-06-21,159.53467089537472,161.52909755999997,158.4234952936463,159.68663024902344
2022-06-22,157.61621827981307,160.75029622182015,157.05587004621592,159.38270568847656
2022-06-23,159.73410944501018,161.67154036304436,158.17656239587976,161.29165649414062
2022-06-24,162.61177303864346,166.29670744405476,162.3078543492055,166.28720092773438
2022-06-27,166.838053363689,168.091696300411,165.42295904723306,166.904541015625
2022-06-28,168.03469924950065,169.19336395696226,163.68497507555762,163.77044677734375
2022-06-29,163.87491657876353,164.01736941468917,160.47490214213713,162.10842895507812
2022-06-30,159.74362274166262,162.69726586437451,158.37601744486906,160.84530639648438
2022-07-01,160.55090157876077,163.20062609459038,159.2307853340207,162.79225158691406
2022-07-05,160.19945952407417,164.20729651780104,158.34750036622412,164.1408233642578
