Symbol,Timeframe,Strategy,Trades,WinRate%,TotalPnL,Return%,DailyAvg%,Sharpe,MaxDD%
ADA/USDT,1h,Grid Trading,37,67.6,16484.19,164.84,1.83,6.67,14.83
DOT/USDT,1h,Grid Trading,32,50.0,4184.66,41.85,0.46,2.63,20.03
AVAX/USDT,1h,Grid Trading,24,58.3,4174.76,41.75,0.46,2.65,18.64
APT/USDT,1h,EMA Cross + Protector,1,100.0,3497.36,34.97,0.39,2.78,8.8
DOT/USDT,1h,EMA Cross + Protector,1,100.0,2986.28,29.86,0.33,2.68,9.4
AVAX/USDT,1h,EMA Cross + Protector,1,100.0,2761.65,27.62,0.31,2.86,9.01
WIF/USDT,1h,EMA Cross + Protector,1,100.0,2740.79,27.41,0.3,1.93,17.08
ADA/USDT,1h,EMA Cross + Protector,1,100.0,2501.89,25.02,0.28,2.62,15.82
XRP/USDT,1h,EMA Cross + Protector,1,100.0,2405.34,24.05,0.27,2.84,12.31
SOL/USDT,1h,Grid Trading,24,50.0,2026.78,20.27,0.23,1.67,23.67
LTC/USDT,1h,EMA Cross + Protector,1,100.0,1872.32,18.72,0.21,2.34,11.36
BTC/USDT,1h,EMA Cross + Protector,1,100.0,1649.48,16.49,0.18,2.5,8.37
LINK/USDT,1h,EMA Cross + Protector,1,100.0,1362.27,13.62,0.15,1.48,14.66
BTC/USDT,1h,Grid Trading,13,61.5,1352.15,13.52,0.15,1.56,20.7
SOL/USDT,1h,EMA Cross + Protector,1,100.0,1260.9,12.61,0.14,1.39,19.96
ETH/USDT,1h,EMA Cross + Protector,1,100.0,1213.77,12.14,0.13,1.53,15.12
AVAX/USDT,1h,RSI + SMA,43,65.1,1116.39,11.16,0.12,1.75,6.42
LINK/USDT,1h,Grid Trading,23,47.8,960.0,9.6,0.11,0.96,14.41
WIF/USDT,1h,RSI + SMA,30,66.7,806.03,8.06,0.09,1.36,10.26
LTC/USDT,1h,Grid Trading,13,46.2,753.25,7.53,0.08,0.86,15.35
SOL/USDT,1h,RSI + SMA,27,63.0,630.31,6.3,0.07,1.63,4.83
BTC/USDT,1h,RSI + SMA,21,57.1,347.24,3.47,0.04,1.27,3.97
NEAR/USDT,1h,EMA Cross + Protector,1,100.0,279.55,2.8,0.03,0.62,46.97
LINK/USDT,1h,RSI + SMA,31,58.1,199.72,2.0,0.02,0.52,5.66
INJ/USDT,1h,Grid Trading,66,40.9,179.58,1.8,0.02,0.53,35.32
AAVE/USDT,1h,RSI + SMA,27,66.7,142.74,1.43,0.02,0.38,7.51
AAVE/USDT,1h,EMA Cross + Protector,1,100.0,141.15,1.41,0.02,0.42,34.3
NEAR/USDT,1h,RSI + SMA,22,68.2,-25.63,-0.26,-0.0,0.18,23.35
INJ/USDT,1h,EMA Cross + Protector,1,0.0,-49.09,-0.49,-0.01,0.47,43.14
INJ/USDT,1h,RSI + SMA,32,56.2,-79.13,-0.79,-0.01,0.14,12.54
DOT/USDT,1h,RSI + SMA,27,55.6,-207.5,-2.08,-0.02,-0.29,6.6
ETH/USDT,1h,RSI + SMA,27,48.1,-359.35,-3.59,-0.04,-0.73,10.8
LTC/USDT,1h,RSI + SMA,23,47.8,-457.57,-4.58,-0.05,-1.16,11.01
ATOM/USDT,1h,Grid Trading,39,41.0,-922.67,-9.23,-0.1,-0.4,40.96
ETH/USDT,1h,Grid Trading,20,45.0,-927.01,-9.27,-0.1,-0.59,27.5
XRP/USDT,1h,RSI + SMA,28,57.1,-997.17,-9.97,-0.11,-2.26,13.26
APT/USDT,1h,RSI + SMA,34,50.0,-1071.84,-10.72,-0.12,-1.55,16.36
ATOM/USDT,1h,RSI + SMA,25,56.0,-1082.37,-10.82,-0.12,-2.13,14.62
ADA/USDT,1h,RSI + SMA,25,52.0,-1153.3,-11.53,-0.13,-2.26,15.08
XRP/USDT,1h,Grid Trading,27,37.0,-2617.24,-26.17,-0.29,-2.37,37.2
NEAR/USDT,1h,Grid Trading,63,34.9,-3390.8,-33.91,-0.38,-1.49,50.55
ATOM/USDT,1h,EMA Cross + Protector,1,0.0,-3395.73,-33.96,-0.38,-2.67,43.9
APT/USDT,1h,Grid Trading,41,29.3,-4706.76,-47.07,-0.52,-3.31,55.1
AAVE/USDT,1h,Grid Trading,40,25.0,-5087.87,-50.88,-0.57,-3.9,53.65
WIF/USDT,1h,Grid Trading,51,23.5,-6255.36,-62.55,-0.7,-5.03,64.95
