Symbol,Timeframe,Strategy,Trades,WinRate%,TotalPnL,Return%,DailyAvg%,Sharpe,MaxDD%,CalmarRatio
INJ/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOT/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOM/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNB/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAVE/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTC/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APT/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINK/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEAR/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADA/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEAR/USDT,1h,RSI + SMA,22,68.2,-25.63,-0.26,-0.0,0.18,23.35,-0.01
INJ/USDT,1h,EMA Cross + Protector,1,0.0,-49.09,-0.49,-0.01,0.47,43.14,-0.01
INJ/USDT,1h,RSI + SMA,32,56.2,-79.13,-0.79,-0.01,0.14,12.54,-0.06
INJ/USDT,1h,MACD Scalper,1,0.0,-329.56,-3.3,-0.04,0.36,43.09,-0.08
NEAR/USDT,1h,VWAP Reversion,1,0.0,-849.6,-8.5,-0.09,1.55,89.6,-0.09
INJ/USDT,1h,Trend Breakout,1,0.0,-1392.28,-13.92,-0.15,0.93,73.88,-0.19
AAVE/USDT,1h,Trend Breakout,1,0.0,-859.4,-8.59,-0.1,-0.11,40.8,-0.21
ATOM/USDT,1h,Grid Trading,39,41.0,-922.67,-9.23,-0.1,-0.4,40.96,-0.23
BNB/USDT,1h,Trend Breakout,1,0.0,-695.55,-6.96,-0.08,-0.51,25.59,-0.27
DOT/USDT,1h,RSI + SMA,27,55.6,-207.5,-2.08,-0.02,-0.29,6.6,-0.31
ETH/USDT,1h,RSI + SMA,27,48.1,-359.35,-3.59,-0.04,-0.73,10.8,-0.33
ETH/USDT,1h,Grid Trading,20,45.0,-930.46,-9.3,-0.1,-0.59,27.5,-0.34
BNB/USDT,1h,RSI + SMA,26,46.2,-345.17,-3.45,-0.04,-0.79,8.56,-0.4
BNB/USDT,1h,MACD Scalper,1,0.0,-1042.9,-10.43,-0.12,-0.98,25.54,-0.41
LTC/USDT,1h,RSI + SMA,23,47.8,-457.57,-4.58,-0.05,-1.16,11.01,-0.42
BNB/USDT,1h,EMA Cross + Protector,1,0.0,-1165.47,-11.65,-0.13,-1.09,25.52,-0.46
ETH/USDT,1h,Trend Breakout,1,0.0,-1772.34,-17.72,-0.2,-1.34,34.1,-0.52
SOL/USDT,1h,Trend Breakout,1,0.0,-2088.72,-20.89,-0.23,-1.43,36.17,-0.58
ADA/USDT,1h,Trend Breakout,1,0.0,-3040.44,-30.4,-0.34,-1.8,49.12,-0.62
LTC/USDT,1h,VWAP Reversion,1,0.0,-2126.16,-21.26,-0.24,-1.76,33.07,-0.64
LTC/USDT,1h,MACD Scalper,1,0.0,-2042.25,-20.42,-0.23,-1.72,31.76,-0.64
LINK/USDT,1h,Trend Breakout,1,0.0,-2172.83,-21.73,-0.24,-1.5,33.37,-0.65
ATOM/USDT,1h,VWAP Reversion,1,0.0,-2871.54,-28.72,-0.32,-1.92,44.06,-0.65
APT/USDT,1h,RSI + SMA,34,50.0,-1071.84,-10.72,-0.12,-1.55,16.36,-0.66
NEAR/USDT,1h,Grid Trading,63,34.9,-3390.8,-33.91,-0.38,-1.49,50.55,-0.67
LTC/USDT,1h,Trend Breakout,1,0.0,-2220.67,-22.21,-0.25,-1.86,33.05,-0.67
BTC/USDT,1h,Trend Breakout,1,0.0,-1928.89,-19.29,-0.21,-2.1,27.66,-0.7
XRP/USDT,1h,Grid Trading,27,37.0,-2617.9,-26.18,-0.29,-2.37,37.2,-0.7
XRP/USDT,1h,MACD Scalper,1,0.0,-1403.35,-14.03,-0.16,-1.22,19.86,-0.71
ATOM/USDT,1h,RSI + SMA,25,56.0,-1082.37,-10.82,-0.12,-2.13,14.62,-0.74
XRP/USDT,1h,RSI + SMA,28,57.1,-997.17,-9.97,-0.11,-2.26,13.26,-0.75
ATOM/USDT,1h,EMA Cross + Protector,1,0.0,-3395.73,-33.96,-0.38,-2.67,43.9,-0.77
AVAX/USDT,1h,Trend Breakout,1,0.0,-3204.55,-32.05,-0.36,-2.17,41.42,-0.77
DOT/USDT,1h,MACD Scalper,1,0.0,-3231.53,-32.32,-0.36,-2.29,41.86,-0.77
ADA/USDT,1h,RSI + SMA,25,52.0,-1153.3,-11.53,-0.13,-2.26,15.08,-0.77
XRP/USDT,1h,Trend Breakout,1,0.0,-2558.93,-25.59,-0.28,-2.23,32.37,-0.79
DOT/USDT,1h,VWAP Reversion,1,0.0,-3567.55,-35.68,-0.4,-2.48,45.08,-0.79
DOT/USDT,1h,Trend Breakout,1,0.0,-3675.95,-36.76,-0.41,-2.59,45.04,-0.82
APT/USDT,1h,VWAP Reversion,1,0.0,-4343.45,-43.43,-0.48,-2.69,52.49,-0.83
APT/USDT,1h,Grid Trading,41,29.3,-4706.76,-47.07,-0.52,-3.31,55.1,-0.85
WIF/USDT,1h,VWAP Reversion,1,0.0,-3495.55,-34.96,-0.39,-1.65,41.25,-0.85
APT/USDT,1h,MACD Scalper,1,0.0,-4069.75,-40.7,-0.45,-2.54,46.52,-0.87
WIF/USDT,1h,Trend Breakout,1,0.0,-3679.21,-36.79,-0.41,-1.8,41.19,-0.89
WIF/USDT,1h,MACD Scalper,1,0.0,-3028.89,-30.29,-0.34,-1.4,32.5,-0.93
AAVE/USDT,1h,Grid Trading,40,25.0,-5087.87,-50.88,-0.57,-3.9,53.65,-0.95
WIF/USDT,1h,Grid Trading,51,23.5,-6255.36,-62.55,-0.7,-5.03,64.95,-0.96
