Symbol,Timeframe,Strategy,Trades,WinRate%,TotalPnL,Return%,DailyAvg%,Sharpe,MaxDD%,CalmarRatio
ADA/USDT,1h,Grid Trading,37,67.6,16496.46,164.96,1.83,6.67,14.83,11.12
SUI/USDT,1h,MACD Scalper,1,100.0,4532.99,45.33,0.5,4.39,7.69,5.89
OP/USDT,1h,VWAP Reversion,1,100.0,4484.06,44.84,0.5,3.8,8.79,5.1
OP/USDT,1h,Trend Breakout,1,100.0,4375.91,43.76,0.49,3.6,9.05,4.84
DOGE/USDT,1h,MACD Scalper,1,100.0,3513.78,35.14,0.39,3.6,8.13,4.32
DOGE/USDT,1h,VWAP Reversion,1,100.0,3451.58,34.52,0.38,3.37,8.26,4.18
AVAX/USDT,1h,MACD Scalper,1,100.0,3250.22,32.5,0.36,3.35,8.09,4.02
APT/USDT,1h,EMA Cross + Protector,1,100.0,3477.16,34.77,0.39,2.77,8.8,3.95
AVAX/USDT,1h,VWAP Reversion,1,100.0,3206.85,32.07,0.36,3.19,8.17,3.93
ARB/USDT,1h,MACD Scalper,1,100.0,4186.6,41.87,0.47,4.04,13.05,3.21
TIA/USDT,1h,RSI + SMA,19,78.9,1736.13,17.36,0.19,2.44,5.44,3.19
ETC/USDT,1h,Trend Breakout,1,100.0,2980.24,29.8,0.33,2.99,9.34,3.19
DOT/USDT,1h,EMA Cross + Protector,1,100.0,2986.28,29.86,0.33,2.68,9.4,3.18
SUI/USDT,1h,EMA Cross + Protector,1,100.0,3373.14,33.73,0.37,2.91,10.9,3.1
FIL/USDT,1h,Trend Breakout,1,100.0,3449.3,34.49,0.38,2.68,11.23,3.07
AVAX/USDT,1h,EMA Cross + Protector,1,100.0,2757.61,27.58,0.31,2.86,9.01,3.06
SUI/USDT,1h,RSI + SMA,24,70.8,1909.92,19.1,0.21,3.88,6.7,2.85
UNI/USDT,1h,RSI + SMA,33,66.7,1876.2,18.76,0.21,2.86,6.7,2.8
WIF/USDT,1h,VWAP Reversion,1,100.0,3743.11,37.43,0.42,2.75,13.55,2.76
BTC/USDT,1h,MACD Scalper,1,100.0,1923.14,19.23,0.21,2.97,7.92,2.43
PEPE/USDT,1h,Trend Breakout,1,100.0,3056.07,30.56,0.34,2.76,12.7,2.41
ETC/USDT,1h,EMA Cross + Protector,1,100.0,2493.2,24.93,0.28,2.58,10.43,2.39
BTC/USDT,1h,VWAP Reversion,1,100.0,1873.18,18.73,0.21,2.76,8.0,2.34
OP/USDT,1h,EMA Cross + Protector,1,100.0,2982.38,29.82,0.33,2.1,12.79,2.33
FLOKI/USDT,1h,EMA Cross + Protector,1,100.0,2997.76,29.98,0.33,2.57,13.15,2.28
ADA/USDT,1h,MACD Scalper,1,100.0,3133.64,31.34,0.35,3.38,13.95,2.25
AVAX/USDT,1h,Grid Trading,24,58.3,4182.85,41.83,0.46,2.66,18.64,2.24
XRP/USDT,1h,VWAP Reversion,1,100.0,2531.86,25.32,0.28,2.73,11.97,2.12
ADA/USDT,1h,VWAP Reversion,1,100.0,3018.17,30.18,0.34,3.09,14.29,2.11
DOT/USDT,1h,Grid Trading,32,50.0,4184.66,41.85,0.46,2.63,20.03,2.09
LTC/USDT,1h,VWAP Reversion,1,100.0,2191.02,21.91,0.24,2.62,10.65,2.06
BTC/USDT,1h,EMA Cross + Protector,1,100.0,1646.55,16.47,0.18,2.5,8.37,1.97
XRP/USDT,1h,EMA Cross + Protector,1,100.0,2404.66,24.05,0.27,2.84,12.31,1.95
ARB/USDT,1h,Grid Trading,37,51.4,3028.04,30.28,0.34,1.91,15.65,1.93
ARB/USDT,1h,EMA Cross + Protector,1,100.0,3124.68,31.25,0.35,2.73,16.73,1.87
ATOM/USDT,1h,VWAP Reversion,1,100.0,3221.26,32.21,0.36,2.44,17.73,1.82
LINK/USDT,1h,MACD Scalper,1,100.0,2193.97,21.94,0.24,2.37,12.42,1.77
AVAX/USDT,1h,RSI + SMA,43,65.1,1116.39,11.16,0.12,1.75,6.42,1.74
SUI/USDT,1h,VWAP Reversion,1,100.0,3726.77,37.27,0.41,2.69,21.98,1.7
LINK/USDT,1h,VWAP Reversion,1,100.0,2138.34,21.38,0.24,2.25,12.56,1.7
LTC/USDT,1h,EMA Cross + Protector,1,100.0,1870.63,18.71,0.21,2.33,11.36,1.65
ATOM/USDT,1h,MACD Scalper,1,100.0,3033.14,30.33,0.34,2.21,18.61,1.63
WIF/USDT,1h,EMA Cross + Protector,1,100.0,2755.2,27.55,0.31,1.93,17.08,1.61
FIL/USDT,1h,EMA Cross + Protector,1,100.0,2389.67,23.9,0.27,1.74,14.96,1.6
ADA/USDT,1h,EMA Cross + Protector,1,100.0,2505.61,25.06,0.28,2.62,15.82,1.58
ATOM/USDT,1h,Trend Breakout,1,100.0,2840.37,28.4,0.32,2.01,19.53,1.45
SHIB/USDT,1h,VWAP Reversion,1,100.0,2516.88,25.17,0.28,2.55,17.64,1.43
PEPE/USDT,1h,EMA Cross + Protector,1,100.0,2088.3,20.88,0.23,1.9,15.43,1.35
