create_time,symbol,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio
2022-01-30 00:00:00,ETHUSDT,506913.536,1307689797.8819509,1.09981096
2022-01-30 01:00:00,ETHUSDT,503135.112,1296191369.98276,1.3127103658333332
2022-01-30 02:00:00,ETHUSDT,505652.352,1301670510.61248,1.3446183441666666
2022-01-30 03:00:00,ETHUSDT,509423.54,1308253415.621725,1.0273626233333333
2022-01-30 04:00:00,ETHUSDT,509598.224,1313549689.265236,1.5738642658333333
2022-01-30 05:00:00,ETHUSDT,509347.411,1326865286.07733,1.4097696358333334
2022-01-30 06:00:00,ETHUSDT,508492.499,1324843038.367314,0.9372064966666667
2022-01-30 07:00:00,ETHUSDT,503809.873,1319533476.47303,1.6008001933333336
2022-01-30 08:00:00,ETHUSDT,503362.333,1313156553.46041,1.0556667441666667
2022-01-30 09:00:00,ETHUSDT,504857.392,1318445176.35584,1.0876985325
2022-01-30 10:00:00,ETHUSDT,506055.421,1327282158.1988,1.2551923883333334
2022-01-30 11:00:00,ETHUSDT,505738.106,1326343699.41454,1.16785512
2022-01-30 12:00:00,ETHUSDT,502203.944,1310665462.3813412,1.22506206
2022-01-30 13:00:00,ETHUSDT,504514.305,1317438204.6465,1.0523868883333334
2022-01-30 14:00:00,ETHUSDT,504596.681,1309579766.1993,1.0243208108333333
2022-01-30 15:00:00,ETHUSDT,505602.131,1320854697.749952,1.3730005208333333
2022-01-30 16:00:00,ETHUSDT,504842.124,1310886749.8203144,0.9733427858333333
2022-01-30 17:00:00,ETHUSDT,505553.126,1323646509.3868797,1.3647779016666668
2022-01-30 18:00:00,ETHUSDT,505741.575,1312479166.336174,0.8521518325
2022-01-30 19:00:00,ETHUSDT,507592.176,1296552847.00032,1.0080079366666668
2022-01-30 20:00:00,ETHUSDT,509456.825,1311688551.1974485,1.3644042008333332
2022-01-30 21:00:00,ETHUSDT,515470.958,1317621089.2917,1.2144401258333335
2022-01-30 22:00:00,ETHUSDT,515286.76,1327218954.8644,1.4440966883333333
2022-01-30 23:00:00,ETHUSDT,517909.358,1348698117.35496,1.1715396858333333
2022-05-09 04:00:00,ETHUSDT,531852.341,1308740179.5946198,0.0
2022-05-09 05:00:00,ETHUSDT,535406.081,1308334361.71403,0.8766581577363636
2022-05-09 06:00:00,ETHUSDT,535888.858,1315612505.27858,1.166767931825
2022-05-09 07:00:00,ETHUSDT,540147.567,1323952722.9757817,1.1028243355833334
2022-05-09 08:00:00,ETHUSDT,547453.108,1346397060.5330217,1.20013432125
2022-05-09 09:00:00,ETHUSDT,544775.62,1332906145.2265625,1.0756708237833335
2022-05-09 10:00:00,ETHUSDT,534966.164,1271170796.1086583,0.926740127275
2022-05-09 11:00:00,ETHUSDT,530677.19,1274504784.7250357,1.2154923065083334
2022-05-09 12:00:00,ETHUSDT,531291.202,1276824507.0738254,1.0051361001833332
2022-05-09 13:00:00,ETHUSDT,531283.457,1286077864.3599,1.1029582557166666
2022-05-09 14:00:00,ETHUSDT,538519.735,1287040625.8606,0.9637788229666667
2022-05-09 15:00:00,ETHUSDT,536802.645,1278965613.6823747,1.0771288052333332
2022-05-09 16:00:00,ETHUSDT,533379.109,1242433809.0188117,0.9179322656000001
2022-05-09 17:00:00,ETHUSDT,533602.409,1233506720.7889469,1.1112059317916667
2022-05-09 18:00:00,ETHUSDT,535094.214,1223274741.3065383,1.0243592446416667
2022-05-09 19:00:00,ETHUSDT,525738.376,1177530109.5031288,0.9723760823333333
2022-05-09 20:00:00,ETHUSDT,520918.897,1203293095.512055,1.1145210864416668
2022-05-09 21:00:00,ETHUSDT,520518.36,1194845577.0555818,0.99786172935
2022-05-09 22:00:00,ETHUSDT,520034.557,1196901135.70006,0.9949257771000001
2022-05-09 23:00:00,ETHUSDT,515851.195,1162898824.42435,1.0877802360416666
2022-05-10 00:00:00,ETHUSDT,513649.999,1163982010.043783,1.0535507281
2022-05-10 01:00:00,ETHUSDT,517881.877,1202827268.70143,1.1575057672166666
2022-05-10 02:00:00,ETHUSDT,516813.559,1200862817.55681,1.030869703475
2022-05-10 03:00:00,ETHUSDT,512587.076,1181995042.03144,0.880254690425
2022-05-10 04:00:00,ETHUSDT,512423.971,1197750038.29482,1.0462199860999999
2022-05-10 05:00:00,ETHUSDT,509877.959,1221249177.2773323,1.1630817952416665
2022-05-10 06:00:00,ETHUSDT,505193.484,1216138701.9193175,1.0148624584083332
2022-05-10 07:00:00,ETHUSDT,498497.062,1187236245.5125616,0.9463730848999999
2022-05-10 08:00:00,ETHUSDT,492910.011,1173841966.87381,1.1022585225333332
