create_time,symbol,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio
2022-01-30 00:00:00,BTCUSDT,75948.495,2877773537.8644,1.1131228275
2022-01-30 01:00:00,BTCUSDT,76243.286,2889676501.2270274,1.2197658916666667
2022-01-30 02:00:00,BTCUSDT,76248.786,2891807645.3967,1.2799509316666666
2022-01-30 03:00:00,BTCUSDT,76478.331,2897231672.40624,1.1586033133333333
2022-01-30 04:00:00,BTCUSDT,76425.959,2903804312.205,1.4981144475000001
2022-01-30 05:00:00,BTCUSDT,76326.004,2912837096.2491045,1.2075421233333332
2022-01-30 06:00:00,BTCUSDT,76508.394,2912919386.4408,0.9376484616666666
2022-01-30 07:00:00,BTCUSDT,76571.149,2927160290.912308,1.4948781924999999
2022-01-30 08:00:00,BTCUSDT,76497.999,2908785158.31567,0.9444332666666666
2022-01-30 09:00:00,BTCUSDT,76739.561,2912648502.96378,1.11539159
2022-01-30 10:00:00,BTCUSDT,76333.348,2908720873.5927024,1.1694517675
2022-01-30 11:00:00,BTCUSDT,76169.343,2900509539.10425,0.9922593675
2022-01-30 12:00:00,BTCUSDT,76339.897,2889841146.4457,1.0119608358333334
2022-01-30 13:00:00,BTCUSDT,76564.978,2906170744.74776,1.0729095483333333
2022-01-30 14:00:00,BTCUSDT,76877.423,2903702549.29265,0.9604675658333334
2022-01-30 15:00:00,BTCUSDT,76850.061,2915691314.34,1.1486915725
2022-01-30 16:00:00,BTCUSDT,77273.759,2924426182.09259,0.9745346549999999
2022-01-30 17:00:00,BTCUSDT,77200.085,2931144114.989296,1.1941018391666667
2022-01-30 18:00:00,BTCUSDT,77261.698,2921173544.105535,1.1071861375
2022-01-30 19:00:00,BTCUSDT,77190.484,2893371050.82368,1.0317395783333334
2022-01-30 20:00:00,BTCUSDT,76731.643,2891203117.794911,1.0665886775
2022-01-30 21:00:00,BTCUSDT,76951.109,2900792184.353608,1.1192366716666666
2022-01-30 22:00:00,BTCUSDT,77241.371,2916793286.18426,1.5507377783333334
2022-01-30 23:00:00,BTCUSDT,77188.563,2926467298.3497033,1.1533166483333332
2022-05-09 05:00:00,BTCUSDT,91038.961,3052181310.3821,0.97846286063
2022-05-09 06:00:00,BTCUSDT,92154.96,3094390087.365606,1.1345899080083333
2022-05-09 07:00:00,BTCUSDT,92766.618,3111139686.18669,1.0482818493333335
2022-05-09 08:00:00,BTCUSDT,92953.397,3130382255.4293,0.9655542517166666
2022-05-09 09:00:00,BTCUSDT,93335.647,3125810818.03,1.1015460639833334
2022-05-09 10:00:00,BTCUSDT,92545.627,3037371709.6678433,0.8820413203249999
2022-05-09 11:00:00,BTCUSDT,93282.898,3085166187.3447466,1.1355347817166666
2022-05-09 12:00:00,BTCUSDT,93689.408,3088246480.1408,1.1134773395583333
2022-05-09 13:00:00,BTCUSDT,94704.79,3137878088.721852,1.13817336135
2022-05-09 14:00:00,BTCUSDT,93648.187,3048310215.9299445,0.9141375206916668
2022-05-09 15:00:00,BTCUSDT,93761.945,3031997180.4708343,0.9524089804416667
2022-05-09 16:00:00,BTCUSDT,93180.509,2952064338.364988,1.0170471858833332
2022-05-09 17:00:00,BTCUSDT,90253.755,2829500346.1275,1.0161638770333334
2022-05-09 18:00:00,BTCUSDT,89898.202,2768259397.154124,1.0152815447666665
2022-05-09 19:00:00,BTCUSDT,90517.041,2763417436.7943263,1.0544533992916667
2022-05-09 20:00:00,BTCUSDT,87313.618,2734213155.045356,1.1318764147916667
2022-05-09 21:00:00,BTCUSDT,87288.233,2720905154.9595,1.0319745582083333
2022-05-09 22:00:00,BTCUSDT,86746.593,2708540921.1948,1.0271372032583332
2022-05-09 23:00:00,BTCUSDT,86475.792,2622222735.9744,0.967330004075
2022-05-10 00:00:00,BTCUSDT,85615.629,2608256017.18134,1.0472568098000001
2022-05-10 01:00:00,BTCUSDT,84720.037,2628515395.9583,1.1731646791416666
2022-05-10 02:00:00,BTCUSDT,84045.989,2611056740.263,1.0924775791749999
2022-05-10 03:00:00,BTCUSDT,84565.964,2595955223.2936,0.9068063627416666
2022-05-10 04:00:00,BTCUSDT,85620.076,2666674480.5822153,1.1870736292500002
2022-05-10 05:00:00,BTCUSDT,84285.745,2671193226.97951,1.1876496415833333
2022-05-10 06:00:00,BTCUSDT,83914.905,2703613452.9328346,1.111587151475
2022-05-10 07:00:00,BTCUSDT,83385.064,2645000742.052574,1.0181921937666667
2022-05-10 08:00:00,BTCUSDT,82511.121,2616280182.2820473,1.0211027194416666
2022-05-10 09:00:00,BTCUSDT,83185.358,2616796518.2420974,0.9657215996583334
2022-05-10 10:00:00,BTCUSDT,84097.601,2636905508.6353,1.0495385757333333
2022-05-10 11:00:00,BTCUSDT,84401.435,2668283473.0424447,1.1540091239416668
2022-05-10 12:00:00,BTCUSDT,84495.104,2726340801.5960264,1.2539831990416668
2022-05-10 13:00:00,BTCUSDT,84373.024,2679526933.4944,0.8542250386166667
2022-05-11 06:00:00,BTCUSDT,80661.05,2473941984.5960755,0.8117163101166667
2022-05-11 07:00:00,BTCUSDT,83157.241,2526175614.2703,0.9996445328416668
2022-05-11 08:00:00,BTCUSDT,83212.948,2587733292.406226,1.1535687910499999
2022-05-11 09:00:00,BTCUSDT,81896.261,2587651589.9387,1.1546963994666666
2022-05-11 10:00:00,BTCUSDT,81358.728,2608038332.0342965,1.12128466425
2022-05-11 11:00:00,BTCUSDT,80000.22,2519342928.174,0.934887803775
2022-05-11 12:00:00,BTCUSDT,80075.647,2367660715.3666,1.020029900925
2022-05-11 13:00:00,BTCUSDT,80495.722,2512509468.0420256,1.113154939925
2022-05-11 14:00:00,BTCUSDT,79002.005,2491342938.5656686,1.1069481714666667
2022-05-11 15:00:00,BTCUSDT,76824.166,2373354226.0391126,0.8885920076583332
2022-05-11 16:00:00,BTCUSDT,76302.624,2313381105.744,0.9839054829916667
2022-05-11 17:00:00,BTCUSDT,77842.907,2328810680.1376,1.0206461384416665
2022-05-11 18:00:00,BTCUSDT,79354.366,2372818715.9208937,1.115514615425
2022-05-11 19:00:00,BTCUSDT,80750.588,2387051981.7504,0.9868046163083334
2022-05-11 20:00:00,BTCUSDT,82108.009,2340899952.4559007,0.9266979783333333
2022-05-11 21:00:00,BTCUSDT,77155.752,2231658586.206596,1.0455304413666666
2022-05-11 22:00:00,BTCUSDT,77709.596,2247781148.1384,1.06756932035
2022-05-11 23:00:00,BTCUSDT,78607.551,2275523525.5929,1.010318141075
2022-05-12 00:00:00,BTCUSDT,77515.003,2323217657.9136,1.2553757520916666
2022-05-12 01:00:00,BTCUSDT,79008.995,2330299199.4295,0.9572092956666666
2022-05-12 02:00:00,BTCUSDT,78450.1,2260842771.433586,0.9937060096916667
2022-05-12 03:00:00,BTCUSDT,78842.497,2252900699.0259,1.0113757776916665
2022-05-12 04:00:00,BTCUSDT,78199.045,2168201461.0015,0.995143085525
2022-05-12 05:00:00,BTCUSDT,76865.132,2064397596.1768,0.9721103580916667
2022-05-12 06:00:00,BTCUSDT,75768.788,2057155590.721452,1.00975912965
2022-05-12 07:00:00,BTCUSDT,72720.776,2067944762.0492272,1.0220775070083332
2022-05-12 08:00:00,BTCUSDT,73224.998,2046199344.112,1.0288286882416666
2022-05-12 09:00:00,BTCUSDT,73368.089,2057659413.6673,1.0175104269166668
2022-05-12 10:00:00,BTCUSDT,73649.281,2115418462.7684588,1.2072745108833334
2022-05-12 11:00:00,BTCUSDT,73197.178,2090683878.2973893,1.0889399967166666
2022-05-12 12:00:00,BTCUSDT,73965.041,2118622727.3572168,1.0161685015833333
2022-05-12 13:00:00,BTCUSDT,74514.52,2117426954.676,1.084217684675
2022-05-12 14:00:00,BTCUSDT,76582.357,2235863907.039822,1.1922523525333333
2022-05-12 15:00:00,BTCUSDT,76990.278,2248485670.9344,0.9925617692083333
2022-05-12 16:00:00,BTCUSDT,77011.52,2282220992.896,1.109534597075
2022-05-12 17:00:00,BTCUSDT,75059.082,2152326682.2582,1.0162554010833333
2022-05-12 18:00:00,BTCUSDT,74848.715,2119543456.7555,1.0734948051583333
2022-05-12 19:00:00,BTCUSDT,73921.918,2121263358.928,1.12611962
2022-05-12 20:00:00,BTCUSDT,73259.525,2102908332.8749535,1.1249211534333334
2022-05-12 21:00:00,BTCUSDT,72859.448,2065551321.5121956,0.94725060045
2022-05-12 22:00:00,BTCUSDT,73338.16,2097258695.336,1.1236357429916666
2022-05-12 23:00:00,BTCUSDT,72310.825,2106139551.115,1.2041327908083332
2022-05-13 00:00:00,BTCUSDT,72742.964,2147932418.1028,1.2189592116499999
2022-05-13 01:00:00,BTCUSDT,72189.245,2124731610.236,1.1741563952083334
2022-05-13 02:00:00,BTCUSDT,75204.789,2252007406.605,1.1224232019083333
2022-05-13 03:00:00,BTCUSDT,74306.095,2277110281.275,1.125883899875
2022-05-13 04:00:00,BTCUSDT,74663.239,2269543210.849412,1.0018557255583334
2022-05-13 05:00:00,BTCUSDT,75387.611,2305044055.1749,1.290472963225
2022-05-13 06:00:00,BTCUSDT,75888.046,2304152830.194606,1.0662243572
2022-05-13 07:00:00,BTCUSDT,76624.344,2318180852.066217,1.0670623865583333
2022-05-13 08:00:00,BTCUSDT,76218.918,2308846329.7314,1.0994894676
2022-05-13 09:00:00,BTCUSDT,76328.38,2318360049.93,1.1095365527916667
2022-05-13 10:00:00,BTCUSDT,75393.018,2293727022.4248,1.18424596295
2022-05-13 11:00:00,BTCUSDT,75337.637,2306386419.118,1.1926985196416666
2022-05-13 12:00:00,BTCUSDT,75191.356,2309574785.2042465,1.1413025649083333
2022-05-13 13:00:00,BTCUSDT,75809.026,2337093719.8462,1.0577864930666667
2022-05-13 14:00:00,BTCUSDT,76660.235,2362716858.1590567,1.1139051133583333
2022-05-13 15:00:00,BTCUSDT,77341.471,2347870503.4412,0.91242311415
2022-05-13 16:00:00,BTCUSDT,77804.695,2329421429.8298607,0.93965010755
2022-05-13 17:00:00,BTCUSDT,77846.467,2318314495.1402,1.1034521310666667
2022-05-13 18:00:00,BTCUSDT,78146.162,2347391770.743267,1.175803811675
2022-05-13 19:00:00,BTCUSDT,78079.597,2344028905.0884533,1.0305053893833334
2022-05-13 20:00:00,BTCUSDT,77958.96,2322987314.313025,1.10303506855
2022-05-13 21:00:00,BTCUSDT,77907.868,2342724525.0172944,1.353345675908333
2022-05-13 22:00:00,BTCUSDT,77506.0,2312411324.4755554,0.9543402342749999
2022-05-13 23:00:00,BTCUSDT,76925.408,2250630843.48647,0.9758084994250001
2022-05-14 00:00:00,BTCUSDT,75826.916,2236060924.23312,1.202631326375
2022-05-14 01:00:00,BTCUSDT,75459.486,2243214324.1164,1.1654392623666667
2022-05-14 02:00:00,BTCUSDT,74958.862,2214959588.3329067,0.8086226256083333
2022-05-14 03:00:00,BTCUSDT,74919.025,2212179002.59,0.9719234570583334
